COUNTYNAME,TOWNNAME,Elderly65,Institutions,Beds,BedsPer1000
臺南市,南化區,2204,0,0,0.0
臺南市,南區,26594,14,680,25.6
臺南市,善化區,8807,1,46,5.2
臺南市,大內區,2575,1,49,19.0
臺南市,學甲區,5552,4,195,35.1
臺南市,安南區,31075,13,575,18.5
臺南市,安定區,5658,0,0,0.0
臺南市,安平區,10525,3,293,27.8
臺南市,官田區,4373,1,152,34.8
臺南市,將軍區,4686,3,144,30.7
臺南市,山上區,1666,1,49,29.4
臺南市,左鎮區,1355,0,0,0.0
臺南市,後壁區,6246,1,45,7.2
臺南市,新化區,8882,4,427,48.1
臺南市,新市區,6185,0,0,0.0
臺南市,新營區,15684,9,415,26.5
臺南市,東區,34497,10,387,11.2
臺南市,東山區,5290,2,93,17.6
臺南市,柳營區,4947,0,0,0.0
臺南市,楠西區,2462,0,0,0.0
臺南市,歸仁區,12209,2,96,7.9
臺南市,永康區,36323,10,408,11.2
臺南市,玉井區,3557,0,0,0.0
臺南市,白河區,7325,0,0,0.0
臺南市,西港區,5039,5,234,46.4
臺南市,關廟區,7685,1,122,15.9
臺南市,鹽水區,5707,0,0,0.0
臺南市,麻豆區,9825,3,284,28.9
臺南市,龍崎區,1144,0,0,0.0
臺東縣,卑南鄉,3472,2,97,27.9
臺東縣,大武鄉,1110,0,0,0.0
臺東縣,太麻里鄉,2402,1,46,19.2
臺東縣,延平鄉,402,0,0,0.0
臺東縣,成功鎮,3201,0,0,0.0
臺東縣,東河鄉,2127,0,0,0.0
臺東縣,池上鄉,1960,0,0,0.0
臺東縣,海端鄉,475,0,0,0.0
臺東縣,綠島鄉,612,0,0,0.0
臺東縣,臺東市,19435,9,641,33.0
臺東縣,蘭嶼鄉,525,0,0,0.0
臺東縣,達仁鄉,564,0,0,0.0
臺東縣,金峰鄉,496,0,0,0.0
臺東縣,長濱鄉,1817,0,0,0.0
臺東縣,關山鎮,1924,1,40,20.8
臺東縣,鹿野鄉,1762,0,0,0.0
花蓮縣,光復鄉,3212,1,47,14.6
花蓮縣,卓溪鄉,728,0,0,0.0
花蓮縣,吉安鄉,16471,10,544,33.0
花蓮縣,壽豐鄉,4024,1,180,44.7
花蓮縣,富里鄉,2524,0,0,0.0
花蓮縣,新城鄉,3572,1,54,15.1
花蓮縣,玉里鎮,5317,3,146,27.5
花蓮縣,瑞穗鄉,2879,0,0,0.0
花蓮縣,秀林鄉,1980,0,0,0.0
花蓮縣,花蓮市,19593,1,300,15.3
花蓮縣,萬榮鄉,769,0,0,0.0
花蓮縣,豐濱鄉,1071,0,0,0.0
花蓮縣,鳳林鎮,2972,0,0,0.0
苗栗縣,三灣鄉,1541,0,0,0.0
苗栗縣,三義鄉,3230,0,0,0.0
苗栗縣,公館鄉,6697,0,0,0.0
苗栗縣,卓蘭鎮,3911,0,0,0.0
苗栗縣,南庄鄉,2206,1,48,21.8
苗栗縣,大湖鄉,3217,0,0,0.0
苗栗縣,後龍鎮,6946,0,0,0.0
苗栗縣,泰安鄉,984,0,0,0.0
苗栗縣,獅潭鄉,1272,0,0,0.0
苗栗縣,竹南鎮,13192,2,93,7.0
苗栗縣,苑裡鎮,8350,1,108,12.9
苗栗縣,苗栗市,18082,3,313,17.3
苗栗縣,西湖鄉,1695,0,0,0.0
苗栗縣,通霄鎮,7471,1,150,20.1
苗栗縣,造橋鄉,2735,0,0,0.0
苗栗縣,銅鑼鄉,3805,0,0,0.0
苗栗縣,頭份市,16436,7,339,20.6
苗栗縣,頭屋鄉,2398,0,0,0.0
連江縣,北竿鄉,491,0,0,0.0
連江縣,南竿鄉,1284,1,34,26.5
