COUNTYNAME,TOWNNAME,Elderly65
雲林縣,北港鎮,8267
雲林縣,口湖鄉,5652
雲林縣,古坑鄉,7077
雲林縣,四湖鄉,5223
雲林縣,土庫鎮,6069
雲林縣,大埤鄉,4143
雲林縣,崙背鄉,5536
雲林縣,斗六市,19404
雲林縣,斗南鎮,9096
雲林縣,東勢鄉,3490
雲林縣,林內鄉,3670
雲林縣,水林鄉,6241
雲林縣,臺西鄉,4931
雲林縣,莿桐鄉,5887
雲林縣,虎尾鎮,12715
雲林縣,褒忠鄉,2874
雲林縣,西螺鎮,9005
雲林縣,麥寮鄉,6993
高雄市,三民區,69177
高雄市,仁武區,15128
高雄市,內門區,3449
高雄市,六龜區,3097
高雄市,前金區,7494
高雄市,前鎮區,39071
高雄市,大寮區,20660
高雄市,大樹區,8670
高雄市,大社區,6654
高雄市,小港區,27433
高雄市,岡山區,17878
高雄市,左營區,32423
高雄市,彌陀區,3620
高雄市,新興區,13108
高雄市,旗山區,8680
高雄市,旗津區,5381
高雄市,杉林區,2984
高雄市,林園區,12348
高雄市,桃源區,478
高雄市,梓官區,6838
高雄市,楠梓區,30474
高雄市,橋頭區,8369
高雄市,永安區,2511
高雄市,湖內區,5592
高雄市,燕巢區,6244
高雄市,田寮區,2044
高雄市,甲仙區,1475
高雄市,美濃區,11073
高雄市,苓雅區,40647
高雄市,茂林區,214
高雄市,茄萣區,6029
高雄市,路竹區,10078
高雄市,那瑪夏區,341
高雄市,阿蓮區,5502
高雄市,鳥松區,10058
高雄市,鳳山區,66047
高雄市,鹽埕區,6354
高雄市,鼓山區,26644
